Num. Voters,rank1,rank2,rank3
10,MARCIE HODGE,JEAN QUAN,ARNOLD FIELDS
10,MARCIE HODGE,JEAN QUAN,DON MACLEAY
190,MARCIE HODGE,JEAN QUAN,DON PERATA
13,MARCIE HODGE,JEAN QUAN,GREG HARLAND
44,MARCIE HODGE,JEAN QUAN,JOE TUMAN
47,MARCIE HODGE,JEAN QUAN,LARRY LIONEL ''LL'' YOUNG JR.
146,MARCIE HODGE,JEAN QUAN,REBECCA KAPLAN
57,MARCIE HODGE,JEAN QUAN,TERENCE CANDELL
27,MARCIE HODGE,JOE TUMAN,-
5,MARCIE HODGE,JOE TUMAN,ARNOLD FIELDS
7,MARCIE HODGE,JOE TUMAN,DON MACLEAY
37,MARCIE HODGE,JOE TUMAN,DON PERATA
11,MARCIE HODGE,JOE TUMAN,GREG HARLAND
27,MARCIE HODGE,JOE TUMAN,JEAN QUAN
15,MARCIE HODGE,JOE TUMAN,LARRY LIONEL ''LL'' YOUNG JR.
31,MARCIE HODGE,JOE TUMAN,REBECCA KAPLAN
22,MARCIE HODGE,JOE TUMAN,TERENCE CANDELL
26,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.,-
9,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.,ARNOLD FIELDS
7,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.,DON MACLEAY
19,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.,DON PERATA
17,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.,GREG HARLAND
37,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.,JEAN QUAN
15,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.,JOE TUMAN
33,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.,REBECCA KAPLAN
47,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.,TERENCE CANDELL
71,MARCIE HODGE,REBECCA KAPLAN,-
8,MARCIE HODGE,REBECCA KAPLAN,ARNOLD FIELDS
7,MARCIE HODGE,REBECCA KAPLAN,DON MACLEAY
107,MARCIE HODGE,REBECCA KAPLAN,DON PERATA
12,MARCIE HODGE,REBECCA KAPLAN,GREG HARLAND
141,MARCIE HODGE,REBECCA KAPLAN,JEAN QUAN
43,MARCIE HODGE,REBECCA KAPLAN,JOE TUMAN
43,MARCIE HODGE,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.
34,MARCIE HODGE,REBECCA KAPLAN,TERENCE CANDELL
43,MARCIE HODGE,TERENCE CANDELL,-
14,MARCIE HODGE,TERENCE CANDELL,ARNOLD FIELDS
5,MARCIE HODGE,TERENCE CANDELL,DON MACLEAY
52,MARCIE HODGE,TERENCE CANDELL,DON PERATA
8,MARCIE HODGE,TERENCE CANDELL,GREG HARLAND
50,MARCIE HODGE,TERENCE CANDELL,JEAN QUAN
13,MARCIE HODGE,TERENCE CANDELL,JOE TUMAN
52,MARCIE HODGE,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.
47,MARCIE HODGE,TERENCE CANDELL,REBECCA KAPLAN
1966,REBECCA KAPLAN,-,-
24,REBECCA KAPLAN,ARNOLD FIELDS,-
11,REBECCA KAPLAN,ARNOLD FIELDS,DON MACLEAY
33,REBECCA KAPLAN,ARNOLD FIELDS,DON PERATA
16,REBECCA KAPLAN,ARNOLD FIELDS,GREG HARLAND
32,REBECCA KAPLAN,ARNOLD FIELDS,JEAN QUAN
26,REBECCA KAPLAN,ARNOLD FIELDS,JOE TUMAN
24,REBECCA KAPLAN,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.
19,REBECCA KAPLAN,ARNOLD FIELDS,MARCIE HODGE
21,REBECCA KAPLAN,ARNOLD FIELDS,TERENCE CANDELL
43,REBECCA KAPLAN,DON MACLEAY,-
12,REBECCA KAPLAN,DON MACLEAY,ARNOLD FIELDS
25,REBECCA KAPLAN,DON MACLEAY,DON PERATA
7,REBECCA KAPLAN,DON MACLEAY,GREG HARLAND
200,REBECCA KAPLAN,DON MACLEAY,JEAN QUAN
53,REBECCA KAPLAN,DON MACLEAY,JOE TUMAN
40,REBECCA KAPLAN,DON MACLEAY,LARRY LIONEL ''LL'' YOUNG JR.
22,REBECCA KAPLAN,DON MACLEAY,MARCIE HODGE
11,REBECCA KAPLAN,DON MACLEAY,TERENCE CANDELL
745,REBECCA KAPLAN,DON PERATA,-
73,REBECCA KAPLAN,DON PERATA,ARNOLD FIELDS
52,REBECCA KAPLAN,DON PERATA,DON MACLEAY
50,REBECCA KAPLAN,DON PERATA,GREG HARLAND
1791,REBECCA KAPLAN,DON PERATA,JEAN QUAN
691,REBECCA KAPLAN,DON PERATA,JOE TUMAN
141,REBECCA KAPLAN,DON PERATA,LARRY LIONEL ''LL'' YOUNG JR.
290,REBECCA KAPLAN,DON PERATA,MARCIE HODGE
170,REBECCA KAPLAN,DON PERATA,TERENCE CANDELL
16,REBECCA KAPLAN,GREG HARLAND,-
9,REBECCA KAPLAN,GREG HARLAND,ARNOLD FIELDS
7,REBECCA KAPLAN,GREG HARLAND,DON MACLEAY
23,REBECCA KAPLAN,GREG HARLAND,DON PERATA
24,REBECCA KAPLAN,GREG HARLAND,JEAN QUAN
23,REBECCA KAPLAN,GREG HARLAND,JOE TUMAN
8,REBECCA KAPLAN,GREG HARLAND,LARRY LIONEL ''LL'' YOUNG JR.
14,REBECCA KAPLAN,GREG HARLAND,MARCIE HODGE
10,REBECCA KAPLAN,GREG HARLAND,TERENCE CANDELL
2337,REBECCA KAPLAN,JEAN QUAN,-
152,REBECCA KAPLAN,JEAN QUAN,ARNOLD FIELDS
468,REBECCA KAPLAN,JEAN QUAN,DON MACLEAY
2857,REBECCA KAPLAN,JEAN QUAN,DON PERATA
78,REBECCA KAPLAN,JEAN QUAN,GREG HARLAND
4674,REBECCA KAPLAN,JEAN QUAN,JOE TUMAN
261,REBECCA KAPLAN,JEAN QUAN,LARRY LIONEL ''LL'' YOUNG JR.
810,REBECCA KAPLAN,JEAN QUAN,MARCIE HODGE
326,REBECCA KAPLAN,JEAN QUAN,TERENCE CANDELL
517,REBECCA KAPLAN,JOE TUMAN,-
87,REBECCA KAPLAN,JOE TUMAN,ARNOLD FIELDS
120,REBECCA KAPLAN,JOE TUMAN,DON MACLEAY
840,REBECCA KAPLAN,JOE TUMAN,DON PERATA
94,REBECCA KAPLAN,JOE TUMAN,GREG HARLAND
3320,REBECCA KAPLAN,JOE TUMAN,JEAN QUAN
110,REBECCA KAPLAN,JOE TUMAN,LARRY LIONEL ''LL'' YOUNG JR.
248,REBECCA KAPLAN,JOE TUMAN,MARCIE HODGE
144,REBECCA KAPLAN,JOE TUMAN,TERENCE CANDELL
45,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.,-
17,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.,ARNOLD FIELDS
12,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.,DON MACLEAY
56,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.,DON PERATA
5,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.,GREG HARLAND
56,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.,JEAN QUAN
34,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.,JOE TUMAN
69,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.,MARCIE HODGE
36,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.,TERENCE CANDELL
99,REBECCA KAPLAN,MARCIE HODGE,-
34,REBECCA KAPLAN,MARCIE HODGE,ARNOLD FIELDS
28,REBECCA KAPLAN,MARCIE HODGE,DON MACLEAY
168,REBECCA KAPLAN,MARCIE HODGE,DON PERATA
20,REBECCA KAPLAN,MARCIE HODGE,GREG HARLAND
320,REBECCA KAPLAN,MARCIE HODGE,JEAN QUAN
92,REBECCA KAPLAN,MARCIE HODGE,JOE TUMAN
78,REBECCA KAPLAN,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.
93,REBECCA KAPLAN,MARCIE HODGE,TERENCE CANDELL
42,REBECCA KAPLAN,TERENCE CANDELL,-
24,REBECCA KAPLAN,TERENCE CANDELL,ARNOLD FIELDS
15,REBECCA KAPLAN,TERENCE CANDELL,DON MACLEAY
62,REBECCA KAPLAN,TERENCE CANDELL,DON PERATA
15,REBECCA KAPLAN,TERENCE CANDELL,GREG HARLAND
99,REBECCA KAPLAN,TERENCE CANDELL,JEAN QUAN
50,REBECCA KAPLAN,TERENCE CANDELL,JOE TUMAN
35,REBECCA KAPLAN,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.
62,REBECCA KAPLAN,TERENCE CANDELL,MARCIE HODGE
439,TERENCE CANDELL,-,-
1,TERENCE CANDELL,ARNOLD FIELDS,-
7,TERENCE CANDELL,ARNOLD FIELDS,DON MACLEAY
2,TERENCE CANDELL,ARNOLD FIELDS,DON PERATA
6,TERENCE CANDELL,ARNOLD FIELDS,GREG HARLAND
4,TERENCE CANDELL,ARNOLD FIELDS,JEAN QUAN
15,TERENCE CANDELL,ARNOLD FIELDS,JOE TUMAN
19,TERENCE CANDELL,ARNOLD FIELDS,LARRY LIONEL ''LL'' YOUNG JR.
10,TERENCE CANDELL,ARNOLD FIELDS,MARCIE HODGE
6,TERENCE CANDELL,ARNOLD FIELDS,REBECCA KAPLAN
2,TERENCE CANDELL,DON MACLEAY,-
5,TERENCE CANDELL,DON MACLEAY,ARNOLD FIELDS
4,TERENCE CANDELL,DON MACLEAY,DON PERATA
5,TERENCE CANDELL,DON MACLEAY,GREG HARLAND
3,TERENCE CANDELL,DON MACLEAY,JEAN QUAN
3,TERENCE CANDELL,DON MACLEAY,JOE TUMAN
4,TERENCE CANDELL,DON MACLEAY,LARRY LIONEL ''LL'' YOUNG JR.
5,TERENCE CANDELL,DON MACLEAY,MARCIE HODGE
3,TERENCE CANDELL,DON MACLEAY,REBECCA KAPLAN
79,TERENCE CANDELL,DON PERATA,-
16,TERENCE CANDELL,DON PERATA,ARNOLD FIELDS
10,TERENCE CANDELL,DON PERATA,DON MACLEAY
19,TERENCE CANDELL,DON PERATA,GREG HARLAND
131,TERENCE CANDELL,DON PERATA,JEAN QUAN
27,TERENCE CANDELL,DON PERATA,JOE TUMAN
36,TERENCE CANDELL,DON PERATA,LARRY LIONEL ''LL'' YOUNG JR.
89,TERENCE CANDELL,DON PERATA,MARCIE HODGE
81,TERENCE CANDELL,DON PERATA,REBECCA KAPLAN
11,TERENCE CANDELL,GREG HARLAND,-
18,TERENCE CANDELL,GREG HARLAND,ARNOLD FIELDS
5,TERENCE CANDELL,GREG HARLAND,DON MACLEAY
6,TERENCE CANDELL,GREG HARLAND,DON PERATA
10,TERENCE CANDELL,GREG HARLAND,JEAN QUAN
12,TERENCE CANDELL,GREG HARLAND,JOE TUMAN
5,TERENCE CANDELL,GREG HARLAND,LARRY LIONEL ''LL'' YOUNG JR.
5,TERENCE CANDELL,GREG HARLAND,MARCIE HODGE
7,TERENCE CANDELL,GREG HARLAND,REBECCA KAPLAN
56,TERENCE CANDELL,JEAN QUAN,-
7,TERENCE CANDELL,JEAN QUAN,ARNOLD FIELDS
7,TERENCE CANDELL,JEAN QUAN,DON MACLEAY
99,TERENCE CANDELL,JEAN QUAN,DON PERATA
8,TERENCE CANDELL,JEAN QUAN,GREG HARLAND
18,TERENCE CANDELL,JEAN QUAN,JOE TUMAN
21,TERENCE CANDELL,JEAN QUAN,LARRY LIONEL ''LL'' YOUNG JR.
46,TERENCE CANDELL,JEAN QUAN,MARCIE HODGE
68,TERENCE CANDELL,JEAN QUAN,REBECCA KAPLAN
21,TERENCE CANDELL,JOE TUMAN,-
8,TERENCE CANDELL,JOE TUMAN,ARNOLD FIELDS
8,TERENCE CANDELL,JOE TUMAN,DON MACLEAY
18,TERENCE CANDELL,JOE TUMAN,DON PERATA
8,TERENCE CANDELL,JOE TUMAN,GREG HARLAND
23,TERENCE CANDELL,JOE TUMAN,JEAN QUAN
26,TERENCE CANDELL,JOE TUMAN,LARRY LIONEL ''LL'' YOUNG JR.
28,TERENCE CANDELL,JOE TUMAN,MARCIE HODGE
21,TERENCE CANDELL,JOE TUMAN,REBECCA KAPLAN
32,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.,-
18,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.,ARNOLD FIELDS
2,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.,DON MACLEAY
21,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.,DON PERATA
6,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.,GREG HARLAND
13,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.,JEAN QUAN
16,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.,JOE TUMAN
27,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.,MARCIE HODGE
42,TERENCE CANDELL,LARRY LIONEL ''LL'' YOUNG JR.,REBECCA KAPLAN
29,TERENCE CANDELL,MARCIE HODGE,-
11,TERENCE CANDELL,MARCIE HODGE,ARNOLD FIELDS
8,TERENCE CANDELL,MARCIE HODGE,DON MACLEAY
48,TERENCE CANDELL,MARCIE HODGE,DON PERATA
7,TERENCE CANDELL,MARCIE HODGE,GREG HARLAND
62,TERENCE CANDELL,MARCIE HODGE,JEAN QUAN
18,TERENCE CANDELL,MARCIE HODGE,JOE TUMAN
64,TERENCE CANDELL,MARCIE HODGE,LARRY LIONEL ''LL'' YOUNG JR.
49,TERENCE CANDELL,MARCIE HODGE,REBECCA KAPLAN
32,TERENCE CANDELL,REBECCA KAPLAN,-
7,TERENCE CANDELL,REBECCA KAPLAN,ARNOLD FIELDS
3,TERENCE CANDELL,REBECCA KAPLAN,DON MACLEAY
46,TERENCE CANDELL,REBECCA KAPLAN,DON PERATA
7,TERENCE CANDELL,REBECCA KAPLAN,GREG HARLAND
53,TERENCE CANDELL,REBECCA KAPLAN,JEAN QUAN
26,TERENCE CANDELL,REBECCA KAPLAN,JOE TUMAN
25,TERENCE CANDELL,REBECCA KAPLAN,LARRY LIONEL ''LL'' YOUNG JR.
43,TERENCE CANDELL,REBECCA KAPLAN,MARCIE HODGE
